t,phase,q1,q2,q3,q4,q5,tip_x,tip_y,tip_z,error,depth
11.35,insertion,0.608861,0.015,-0.310855,0.349066,0.023013,0.549687,0.015,0.126563,0.086798,-0.006563
11.4,insertion,0.608861,0.015,-0.310855,0.349066,0.023263,0.549602,0.015,0.126328,0.086548,-0.006328
11.45,insertion,0.608861,0.015,-0.310855,0.349066,0.023514,0.549516,0.015,0.126093,0.086298,-0.006093
11.5,insertion,0.608861,0.015,-0.310855,0.349066,0.023764,0.549431,0.015,0.125858,0.086047,-0.005858
11.55,insertion,0.608861,0.015,-0.310855,0.349066,0.024014,0.549345,0.015,0.125623,0.085797,-0.005623
11.6,insertion,0.608861,0.015,-0.310855,0.349066,0.024264,0.54926,0.015,0.125388,0.085547,-0.005388
11.65,insertion,0.608861,0.015,-0.310855,0.349066,0.024514,0.549174,0.015,0.125153,0.085297,-0.005153
11.7,insertion,0.608861,0.015,-0.310855,0.349066,0.024764,0.549088,0.015,0.124918,0.085047,-0.004918
11.75,insertion,0.608861,0.015,-0.310855,0.349066,0.025014,0.549003,0.015,0.124683,0.084797,-0.004683
11.8,insertion,0.608861,0.015,-0.310855,0.349066,0.025265,0.548917,0.015,0.124448,0.084547,-0.004448
11.85,insertion,0.608861,0.015,-0.310855,0.349066,0.025515,0.548832,0.015,0.124212,0.084296,-0.004212
11.9,insertion,0.608861,0.015,-0.310855,0.349066,0.025765,0.548746,0.015,0.123977,0.084046,-0.003977
